10.01	62
10.03	80
10.05	82
10.07	98
10.09	86
10.11	88
10.13	78
10.15	96
10.17	58
10.19	90
10.21	78
10.23	68
10.25	80
10.27	86
10.29	96
10.31	82
10.33	82
10.35	94
10.37	96
10.39	106
10.41	96
10.43	96
10.45	116
10.47	78
10.49	112
10.51	102
10.53	78
10.55	86
10.57	78
10.59	84
10.61	84
10.63	80
10.65	88
10.67	98
10.69	80
10.71	52
10.73	56
10.75	88
10.77	68
10.79	74
10.81	74
10.83	78
10.85	84
10.87	82
10.89	76
10.91	76
10.93	66
10.95	76
10.97	58
10.99	66
11.01	52
11.03	88
11.05	96
11.07	48
11.09	62
11.11	72
11.13	72
11.15	76
11.17	66
11.19	88
11.21	74
11.23	78
11.25	76
11.27	62
11.29	72
11.31	80
11.33	100
11.35	68
11.37	80
11.39	80
11.41	74
11.43	54
11.45	84
11.47	76
11.49	68
11.51	80
11.53	70
11.55	98
11.57	64
11.59	64
11.61	56
11.63	66
11.65	74
11.67	62
11.69	82
11.71	66
11.73	62
11.75	82
11.77	96
11.79	68
11.81	90
11.83	70
11.85	86
11.87	88
11.89	54
11.91	82
11.93	76
11.95	54
11.97	74
11.99	82
12.01	80
12.03	74
12.05	64
12.07	80
12.09	84
12.11	70
12.13	80
12.15	78
12.17	54
12.19	72
12.21	88
12.23	86
12.25	82
12.27	76
12.29	102
12.31	96
12.33	88
12.35	96
12.37	80
12.39	84
12.41	70
12.43	80
12.45	76
12.47	82
12.49	86
12.51	68
12.53	72
12.55	70
12.57	70
12.59	78
12.61	82
12.63	76
12.65	62
12.67	82
12.69	86
12.71	60
12.73	78
12.75	82
12.77	82
12.79	78
12.81	56
12.83	82
12.85	68
12.87	74
12.89	84
12.91	86
12.93	106
12.95	80
12.97	88
12.99	82
13.01	98
13.03	82
13.05	60
13.07	82
13.09	86
13.11	82
13.13	106
13.15	60
13.17	68
13.19	70
13.21	76
13.23	54
13.25	78
13.27	58
13.29	72
13.31	80
13.33	50
13.35	74
13.37	82
13.39	68
13.41	74
13.43	68
13.45	90
13.47	66
13.49	62
13.51	92
13.53	68
13.55	66
13.57	68
13.59	96
13.61	112
13.63	70
13.65	76
13.67	72
13.69	86
13.71	96
13.73	78
13.75	88
13.77	94
13.79	106
13.81	128
13.83	112
13.85	158
13.87	158
13.89	156
13.91	170
13.93	180
13.95	154
13.97	170
13.99	144
14.01	178
14.03	144
14.05	160
14.07	144
14.09	148
14.11	124
14.13	122
14.15	114
14.17	116
14.19	74
14.21	110
14.23	82
14.25	72
14.27	86
14.29	84
14.31	72
14.33	62
14.35	62
14.37	60
14.39	66
14.41	68
14.43	66
14.45	60
14.47	74
14.49	68
14.51	62
14.53	66
14.55	62
14.57	58
14.59	68
14.61	50
14.63	60
14.65	74
14.67	54
14.69	70
14.71	56
14.73	50
14.75	68
14.77	64
14.79	56
14.81	64
14.83	82
14.85	54
14.87	56
14.89	64
14.91	70
14.93	52
14.95	76
14.97	62
14.99	52
15.01	80
15.03	62
15.05	58
15.07	78
15.09	52
15.11	68
15.13	50
15.15	58
15.17	58
15.19	70
15.21	58
15.23	74
15.25	44
15.27	62
15.29	76
15.31	54
15.33	72
15.35	58
15.37	68
15.39	66
15.41	64
15.43	56
15.45	74
15.47	76
15.49	54
15.51	60
15.53	58
15.55	74
15.57	82
15.59	48
15.61	60
15.63	54
15.65	56
15.67	54
15.69	56
15.71	50
15.73	46
15.75	48
15.77	50
15.79	66
15.81	60
15.83	60
15.85	72
15.87	58
15.89	60
15.91	52
15.93	52
15.95	60
15.97	56
15.99	70
16.01	58
16.03	60
16.05	60
16.07	70
16.09	50
16.11	68
16.13	64
16.15	50
16.17	76
16.19	54
16.21	46
16.23	60
16.25	60
16.27	50
16.29	62
16.31	68
16.33	70
16.35	58
16.37	64
16.39	48
16.41	68
16.43	52
16.45	62
16.47	62
16.49	56
16.51	48
16.53	48
16.55	62
16.57	50
16.59	58
16.61	48
16.63	52
16.65	52
16.67	58
16.69	60
16.71	64
16.73	56
16.75	72
16.77	84
16.79	84
16.81	62
16.83	56
16.85	68
16.87	64
16.89	50
16.91	82
16.93	68
16.95	64
16.97	76
16.99	84
17.01	68
17.03	76
17.05	96
17.07	74
17.09	94
17.11	80
17.13	68
17.15	80
17.17	66
17.19	90
17.21	86
17.23	88
17.25	64
17.27	86
17.29	74
17.31	62
17.33	72
17.35	72
17.37	86
17.39	74
17.41	84
17.43	80
17.45	68
17.47	90
17.49	72
17.51	86
17.53	84
17.55	76
17.57	72
17.59	76
17.61	90
17.63	88
17.65	84
17.67	86
17.69	90
17.71	72
17.73	70
17.75	66
17.77	62
17.79	92
17.81	64
17.83	58
17.85	66
17.87	72
17.89	88
17.91	80
17.93	84
17.95	70
17.97	96
17.99	94
18.01	80
18.03	86
18.05	90
18.07	70
18.09	68
18.11	66
18.13	76
18.15	104
18.17	106
18.19	66
18.21	74
18.23	82
18.25	58
18.27	62
18.29	70
18.31	72
18.33	84
